Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",5,Flatiron Books,Hardcover,382,2025,2025,,2025/07/26,,,read,,,,1,0
12991188,Train Dreams,Denis Johnson,"Johnson, Denis",,"=""1250007658""","=""9781250007650""",0,Picador Paper,Paperback,116,2012,2002,,2025/11/21,to-read,to-read (#29),to-read,,,,0,0
60804063,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark",,"=""""","=""""",5,,Kindle Edition,350,2022,1884,2022/06/04,2022/04/12,,,read,,,,1,0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,Simon & Schuster,Paperback,916,2006,2005,,2025/07/15,to-read,to-read (#28),to-read,,,,0,0
196693307,Theo of Golden,Allen  Levi,"Levi, Allen",,"=""""","=""9798988702900""",0,Allen Levi,Paperback,399,2023,2023,,2025/07/15,to-read,to-read (#27),to-read,,,,0,0
36458082,Falconer,John Cheever,"Cheever, John",,"=""""","=""""",3,Vintage,Kindle Edition,225,2010,1977,2022/02/08,2019/10/09,,,read,,,,1,0
41180667,A Wolf Called Wander (Voice of the Wilderness),Rosanne Parry,"Parry, Rosanne",Mónica Armiño,"=""0062895931""","=""9780062895936""",4,Greenwillow Books,Hardcover,243,2019,2019,,2025/02/21,,,read,,,,1,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",5,Vintage Books,Paperback,721,2007,2005,,2025/02/21,,,read,,,,1,0
62685154,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""9798200952090""",5,Blackstone Publishing,Kindle Edition,468,2022,1967,2025/02/17,2022/09/25,,,read,,,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,Knopf,Paperback,607,1997,1994,,2025/01/29,to-read,to-read (#26),to-read,,,,0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",5,Penguin Classics ,Paperback,720,2003,1851,,2018/05/14,,,read,,,,1,0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",0,Vintage Books,Paperback,1246,1975,1974,,2024/09/16,to-read,to-read (#25),to-read,,,,0,0
18465875,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,"Zetter, Kim",,"=""077043617X""","=""9780770436179""",0,Crown,Hardcover,406,2014,2014,,2024/09/16,to-read,to-read (#24),to-read,,,,0,0
